Year,Month,Rainfall
2000,1,321
2000,2,731
2000,3,27
2000,4,456
2000,5,453
2000,6,362
2000,7,564
2000,8,1327
2000,9,187
2000,10,1292
2000,11,1480
2000,12,904
2001,1,67
2001,2,8
2001,3,28
2001,4,949
2001,5,401
2001,6,318
2001,7,692
2001,8,350
2001,9,1138
2001,10,1602
2001,11,1172
2001,12,544
2002,1,107
2002,2,727
2002,3,19
2002,4,128
2002,5,569
2002,6,621
2002,7,216
2002,8,566
2002,9,462
2002,10,1842
2002,11,1301
2002,12,394
2003,1,3
2003,2,36
2003,3,193
2003,4,363
2003,5,586
2003,6,346
2003,7,734
2003,8,998
2003,9,620
2003,10,1534
2003,11,1569
2003,12,107
2004,1,321
2004,2,731
2004,3,27
2004,4,456
2004,5,453
2004,6,362
2004,7,564
2004,8,1327
2004,9,1877
2004,10,1292
2004,11,1480
2004,12,904
2005,1,15
2005,2,94
2005,3,126
2005,4,1581
2005,5,572
2005,6,216
2005,7,472
2005,8,805
2005,9,830
2005,10,2892
2005,11,3541
2005,12,1587
2006,1,135
2006,2,0
2006,3,487
2006,4,287
2006,5,666
2006,6,441
2006,7,304
2006,8,621
2006,9,1227
2006,10,2967
2006,11,1967
2006,12,412
2007,1,65
2007,2,131
2007,3,14
2007,4,629
2007,5,389
2007,6,374
2007,7,795
2007,8,1484
2007,9,755
2007,10,2239
2007,11,741
2007,12,1875
2008,1,276
2008,2,229
2008,3,1613
2008,4,426
2008,5,451
2008,6,393
2008,7,746
2008,8,1390
2008,9,563
2008,10,2799
2008,11,3428
2008,12,478
2009,1,81
2009,2,0
2009,3,289
2009,4,519
2009,5,705
2009,6,445
2009,7,314
2009,8,821
2009,9,1168
2009,10,668
2009,11,3484
2009,12,1143
2010,1,166
2010,2,0
2010,3,14
2010,4,161
2010,5,857
2010,6,668
2010,7,693
2010,8,1326
2010,9,934
2010,10,1868
2010,11,3821
2010,12,1504
2011,1,170
2011,2,201
2011,3,24
2011,4,926
2011,5,468
2011,6,291
2011,7,667
2011,8,1061
2011,9,1004
2011,10,2609
2011,11,2570
2011,12,684
2012,1,66
2012,2,14
2012,3,57
2012,4,398
2012,5,489
2012,6,443
2012,7,512
2012,8,848
2012,9,690
2012,10,3128
2012,11,807
2012,12,349
2013,1,88
2013,2,357
2013,3,371
2013,4,201
2013,5,443
2013,6,492
2013,7,349
2013,8,1183
2013,9,1243
2013,10,1169
2013,11,1463
2013,12,540
2014,1,139
2014,2,66
2014,3,13
2014,4,32
2014,5,1339
2014,6,417
2014,7,397
2014,8,946
2014,9,1006
2014,10,2223
2014,11,1430
2014,12,669
2015,1,116
2015,2,23
2015,3,200
2015,4,1080
2015,5,1094
2015,6,615
2015,7,401
2015,8,855
2015,9,929
2015,10,1362
2015,11,3963
2015,12,1526
2016,1,25
2016,2,8
2016,3,28
2016,4,62
2016,5,997
2016,6,621
2016,7,801
2016,8,577
2016,9,462
2016,10,675
2016,11,352
2016,12,664
